Link	Label	Category	Source	Video_Id	CC_Status	Note
https://youtube.com/shorts/Ld2SS2-v3Fk?si=D9zgA5-PhtN_75lZ	4	Entertainment	youtube	Ld2SS2-v3Fk	0	does not exist
https://youtu.be/CotW36ApEto?si=Z0LfThL1MIWeRjyb	5	Entertainment	youtube	CotW36ApEto	1	
https://youtu.be/Yk5TE-7heoc?si=qKy5z1CNFAdZLzIy	6	Entertainment	youtube	Yk5TE-7heoc	0	does not exist
https://youtu.be/Bypor4e04rg?si=ue6z2mkfU_7q23rM	7	Entertainment	youtube	Bypor4e04rg	1	
https://youtube.com/shorts/xy8yKkXriuA?si=mvrySX7jGIAl9BlA	8	Entertainment	youtube	xy8yKkXriuA	0	does not exist
https://youtu.be/_oxso1pWCHY?si=SsD77eL3YI9PvHOd	9	Entertainment	youtube	_oxso1pWCHY	1	corrected Video_Id
https://youtube.com/shorts/HutXJzlDuA0?si=yEu2dL3fK61NWbve	10	Entertainment	youtube	HutXJzlDuA0	0	does not exist
https://youtube.com/shorts/eRxj35raxOs?si=Yk0NisILoySAHM6m	1	Travel	youtube	eRxj35raxOs	1	
https://youtube.com/shorts/YwWbuYQhlvM?si=UgCkMpyTNPfwEYGc	2	Travel	youtube	YwWbuYQhlvM	1	
https://youtube.com/shorts/c6paDig_s24?si=mmwMalddwtPZGUbX	3	Travel	youtube	c6paDig_s24	1	
https://youtube.com/shorts/34LqdqM6Kg4?si=7dCeofUhkB9XTA8O	4	Travel	youtube	34LqdqM6Kg4	1	
https://youtube.com/shorts/gBspmhvWgwA?si=UeZ4MLyLL3aJExfl	5	Travel	youtube	gBspmhvWgwA	1	
https://youtube.com/shorts/HnYN7OQe854?si=HgbFq_P4lXCr1zl3	6	Travel	youtube	HnYN7OQe854	1	
https://youtu.be/qpyMZYSKSCU?si=QV4gcAXmwf0FEPBh	7	Travel	youtube	qpyMZYSKSCU	1	
https://youtube.com/shorts/1gfm91bu6FE?si=Y27WktRAeg_Eqvy2	8	Travel	youtube	1gfm91bu6FE	1	
https://youtube.com/shorts/CEx2oOtCFSU?si=v7lUiaj_NqhY9Jqs	9	Travel	youtube	CEx2oOtCFSU	1	
https://youtube.com/shorts/hKy5Ec-HN3M?si=FS1qABjMtS1461Zq	10	Travel	youtube	hKy5Ec-HN3M	1	
https://youtube.com/shorts/I6h-EmnqOps?si=oZcWFWI-oJH8EsWV	11	Travel	youtube	I6h-EmnqOps	1	
https://youtube.com/shorts/aYRpJoKUBdQ?si=VmZHtFMmC7NQX5dv	12	Travel	youtube	aYRpJoKUBdQ	1	
