Video_Id	CC_Status	Note	Category	Label	Metadata	youtube_caption	Ground_Truth	Chatgpt_caption	Llama2_caption	wer_gpt	bleu_gpt	rouge1_gpt	rouge2_gpt	rougeL_gpt	rougeLsum_gpt	wer_llama2	bleu_llama2	rouge1_llama2	rouge2_llama2	rougeL_llama2	rougeLsum_llama2	wer_asr	bleu_asr	rouge1_asr	rouge2_asr	rougeL_asr	rougeLsum_asr
F7U3J9AJS8M	200		Education	7						2.66	-0.03	0.0	0.0	0.0	0.0							0.0	0.0	0.0	0.0	0.0	0.0
5SLif03E-KE	200		Education	8						-1.35	0.02	0.004	0.011	0.004	0.004							0.0	0.0	0.0	0.0	0.0	0.0
eTFy8RnUkoU	200		Education	9						5.45	-0.067	-0.005	-0.036	-0.019	-0.019							26.36	-0.408	-0.026	-0.082	-0.043	-0.043
zsjvFFKOm3c	200		Education	10						-6.28	0.084	0.034	0.071	0.039	0.041							0.0	0.0	0.0	0.0	0.0	0.0
bi46iDzFs48	0	wrong video	Entertainment	1																							
pPLzAtFiDDw	200		Entertainment	2						-1.81	0.014	0.0	0.0	0.0	0.009							0.0	0.0	0.0	0.0	0.0	0.0
1oPDwCp26bE	200		Entertainment	3						-13.8	0.167	0.066	0.116	0.089	0.089							0.0	0.0	0.0	0.0	0.0	0.0
Ld2SS2-v3Fk	0	does not exist	Entertainment	4																							
CotW36ApEto	200		Entertainment	5						0.0	0.0	0.0	0.0	0.0	0.0							0.0	0.0	0.0	0.0	0.0	0.0
Yk5TE-7heoc	0	does not exist	Entertainment	6																							
Bypor4e04rg	200		Entertainment	7						-2.55	0.038	0.017	0.03	0.017	0.017							0.0	0.0	0.0	0.0	0.0	0.0
xy8yKkXriuA	0	does not exist	Entertainment	8																							
_oxso1pWCHY	200	corrected Video_Id	Entertainment	9						0.0	0.01	0.0	0.0	0.0	0.0							0.0	0.0	0.0	0.0	0.0	0.0
HutXJzlDuA0	0	does not exist	Entertainment	10																							
ULFUVwPDkxI	200		News	1						0.98	-0.018	-0.002	-0.005	-0.002	-0.002							-0.49	0.006	0.006	0.008	0.006	0.006
L7CGonrhG_k	200		News	2						1.3	-0.005	-0.017	-0.024	-0.017	-0.017							0.0	0.0	0.0	0.0	0.0	0.0
GV_c1YlM9EA	200		News	3						-0.39	0.006	0.0	0.0	0.0	0.0							-0.79	0.012	0.009	0.015	0.009	0.009
ZMMRNb2xEkU	0	cc disabled	News	4																							
PvJuocemHS4	200		News	5						1.33	-0.02	0.0	0.0	0.0	0.0							0.0	0.0	0.0	0.0	0.0	0.0
wGWVKkYEHBE	200		News	6						3.43	-0.018	-0.008	-0.018	-0.008	-0.064							2.9	-0.035	-0.027	-0.05	-0.027	-0.027
bKMJm6rbgL4	200		News	7						-2.09	0.028	0.004	0.004	0.004	0.004							0.0	0.0	0.0	0.0	0.0	0.0
MlPD0dxDDQY	200		News	8						0.43	-0.004	0.0	-0.013	-0.004	-0.004							0.0	0.0	0.0	0.0	0.0	0.0
JgSHli3iKxA	200		News	9						0.84	0.006	-0.002	-0.006	-0.002	-0.002							0.0	0.0	0.0	0.0	0.0	0.0
ewfP4aDKqLc	0	cc disabled	News	10																							
eRxj35raxOs	200		Travel	1						-0.61	0.014	0.006	0.011	0.006	0.006							0.0	0.0	0.0	0.0	0.0	0.0
YwWbuYQhlvM	200		Travel	2						-0.54	0.016	-0.005	0.011	0.005	0.016							0.0	0.0	0.0	0.0	0.0	0.0
c6paDig_s24	200		Travel	3						-3.16	0.007	-0.012	-0.01	-0.001	-0.001							0.0	0.0	0.0	0.0	0.0	0.0
34LqdqM6Kg4	200		Travel	4						2.88	-0.013	-0.017	-0.027	-0.017	-0.017							0.0	0.0	0.0	0.0	0.0	0.0
gBspmhvWgwA	200		Travel	5						0.0	0.0	0.0	0.0	0.0	0.0							0.0	0.0	0.0	0.0	0.0	0.0
HnYN7OQe854	200		Travel	6						0.0	0.0	0.0	0.0	0.0	-0.02							0.0	0.0	0.0	0.0	0.0	0.0
qpyMZYSKSCU	200		Travel	7						0.7	-0.013	-0.016	-0.018	-0.02	-0.02							0.0	0.0	0.0	0.0	0.0	0.0
1gfm91bu6FE	200		Travel	8						0.0	0.0	0.0	0.0	0.0	0.0							0.0	0.0	0.0	0.0	0.0	0.0
CEx2oOtCFSU	200		Travel	9						0.0	0.0	0.0	0.0	0.0	0.0							0.0	0.0	0.0	0.0	0.0	0.0
hKy5Ec-HN3M	200		Travel	10						0.0	0.0	0.0	0.0	0.0	0.0							0.0	0.0	0.0	0.0	0.0	0.0
I6h-EmnqOps	404		Travel	11																							
aYRpJoKUBdQ	200		Travel	12						0.0	0.0	0.0	0.0	0.0	0.0							0.0	0.0	0.0	0.0	0.0	0.0
